variant benchmark hosts processes schedulers cores workers runtime
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1250.245083047
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1292.315681722
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1295.207759688
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1297.896315721
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1301.037498675
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1304.908144329
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1378.549187486
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1457.75316761
Ordered knapPI_11_50_1000_049 1 1 4 5 4 842.727167559
Ordered knapPI_11_50_1000_049 1 1 4 5 4 843.966613126
Ordered knapPI_11_50_1000_049 1 1 4 5 4 845.258681031
Ordered knapPI_11_50_1000_049 1 1 4 5 4 848.782294516
Ordered knapPI_11_50_1000_049 1 1 4 5 4 848.988525007
Ordered knapPI_11_50_1000_049 1 1 4 5 4 849.207981956
Ordered knapPI_11_50_1000_049 1 1 4 5 4 865.649483631
Ordered knapPI_11_50_1000_049 1 1 4 5 4 951.95509743
Ordered knapPI_11_50_1000_049 1 1 4 5 4 974.497282689
Ordered knapPI_11_50_1000_049 1 1 4 5 4 984.322273359
Ordered knapPI_11_50_1000_049 2 2 4 5 8 618.511230711
Ordered knapPI_11_50_1000_049 2 2 4 5 8 618.981103918
Ordered knapPI_11_50_1000_049 2 2 4 5 8 619.1894024
Ordered knapPI_11_50_1000_049 2 2 4 5 8 619.391922819
Ordered knapPI_11_50_1000_049 2 2 4 5 8 619.887112399
Ordered knapPI_11_50_1000_049 2 2 4 5 8 620.508311995
Ordered knapPI_11_50_1000_049 2 2 4 5 8 621.265447953
Ordered knapPI_11_50_1000_049 2 2 4 5 8 621.844462752
Ordered knapPI_11_50_1000_049 2 2 4 5 8 623.00999122
Ordered knapPI_11_50_1000_049 2 2 4 5 8 638.617574866
Ordered knapPI_11_50_1000_049 4 8 4 5 32 510.288631431
Ordered knapPI_11_50_1000_049 4 8 4 5 32 512.151607292
Ordered knapPI_11_50_1000_049 4 8 4 5 32 514.069287435
Ordered knapPI_11_50_1000_049 4 8 4 5 32 520.295246775
Ordered knapPI_11_50_1000_049 4 8 4 5 32 520.699657693
Ordered knapPI_11_50_1000_049 4 8 4 5 32 522.413128531
Ordered knapPI_11_50_1000_049 4 8 4 5 32 522.833664767
Ordered knapPI_11_50_1000_049 4 8 4 5 32 529.591505451
Ordered knapPI_11_50_1000_049 4 8 4 5 32 530.35348982
Ordered knapPI_11_50_1000_049 4 8 4 5 32 531.816180628
Ordered knapPI_11_50_1000_049 8 16 4 5 64 510.109399588
Ordered knapPI_11_50_1000_049 8 16 4 5 64 510.530421277
Ordered knapPI_11_50_1000_049 8 16 4 5 64 511.155187006
Ordered knapPI_11_50_1000_049 8 16 4 5 64 517.716875904
Ordered knapPI_11_50_1000_049 8 16 4 5 64 518.552221925
Ordered knapPI_11_50_1000_049 8 16 4 5 64 520.246001324
Ordered knapPI_11_50_1000_049 8 16 4 5 64 520.776497936
Ordered knapPI_11_50_1000_049 8 16 4 5 64 520.800804455
Ordered knapPI_11_50_1000_049 8 16 4 5 64 523.413476851
Ordered knapPI_11_50_1000_049 8 16 4 5 64 529.984312817
Ordered knapPI_11_50_1000_049 16 32 4 5 128 510.756098567
Ordered knapPI_11_50_1000_049 16 32 4 5 128 513.319001906
Ordered knapPI_11_50_1000_049 16 32 4 5 128 515.131264989
Ordered knapPI_11_50_1000_049 16 32 4 5 128 517.436251384
Ordered knapPI_11_50_1000_049 16 32 4 5 128 519.069028138
Ordered knapPI_11_50_1000_049 16 32 4 5 128 521.751497629
Ordered knapPI_11_50_1000_049 16 32 4 5 128 525.506450093
Ordered knapPI_11_50_1000_049 16 32 4 5 128 525.908544306
Ordered knapPI_11_50_1000_049 16 32 4 5 128 528.473644824
Ordered knapPI_11_50_1000_049 16 32 4 5 128 529.89157806
Ordered knapPI_11_50_1000_049 17 50 4 5 200 519.919267471
Ordered knapPI_11_50_1000_049 17 50 4 5 200 524.149239642
Ordered knapPI_11_50_1000_049 17 50 4 5 200 524.596370233
Ordered knapPI_11_50_1000_049 17 50 4 5 200 527.760541518
Ordered knapPI_11_50_1000_049 17 50 4 5 200 527.981118772
Ordered knapPI_11_50_1000_049 17 50 4 5 200 532.149436388
Ordered knapPI_11_50_1000_049 17 50 4 5 200 532.502278023
Ordered knapPI_11_50_1000_049 17 50 4 5 200 533.445719055
Ordered knapPI_11_50_1000_049 17 50 4 5 200 538.667177477
Ordered knapPI_11_50_1000_049 17 50 4 5 200 545.173010047
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1415.554146209
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1416.71417979
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1417.025630255
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1418.841132718
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1426.219157428
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1447.280364151
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1472.803184356
