benchmark runtime
brock400_1 184.4
brock400_2 133.7
brock400_3 106.1
brock400_4 51.6
MANN_a45 123.2
p_hat1000-2 95.0
p_hat500-3  70.9
sanr200_0 14.3
sanr400_0 48.3
