variant benchmark hosts processes schedulers cores workers runtime
Ordered rand_34_22137 4 8 4 5 32 192.043268482
Ordered rand_34_22137 4 8 4 5 32 194.143601416
Ordered rand_34_22137 4 8 4 5 32 197.125674437
Ordered rand_34_22137 4 8 4 5 32 197.851307433
Ordered rand_34_22137 4 8 4 5 32 198.190906875
Ordered rand_34_22137 4 8 4 5 32 202.719337625
Ordered rand_34_22137 4 8 4 5 32 206.850482331
Ordered rand_34_22137 4 8 4 5 32 207.329289805
Ordered rand_34_22137 4 8 4 5 32 443.9679175
Ordered rand_34_22137 8 16 4 5 64 134.386990648
Ordered rand_34_22137 8 16 4 5 64 134.686274883
Ordered rand_34_22137 8 16 4 5 64 135.768156434
Ordered rand_34_22137 8 16 4 5 64 138.989390448
Ordered rand_34_22137 8 16 4 5 64 139.453096616
Ordered rand_34_22137 8 16 4 5 64 140.000436256
Ordered rand_34_22137 8 16 4 5 64 142.90016698
Ordered rand_34_22137 8 16 4 5 64 144.54215415
Ordered rand_34_22137 8 16 4 5 64 148.124962968
Ordered rand_34_22137 8 16 4 5 64 538.721253316
Ordered rand_34_22137 16 32 4 5 128 106.037374216
Ordered rand_34_22137 16 32 4 5 128 107.18808449
Ordered rand_34_22137 16 32 4 5 128 107.873782766
Ordered rand_34_22137 16 32 4 5 128 108.863019245
Ordered rand_34_22137 16 32 4 5 128 109.632292906
Ordered rand_34_22137 16 32 4 5 128 110.007779646
Ordered rand_34_22137 16 32 4 5 128 110.522631447
Ordered rand_34_22137 16 32 4 5 128 110.55414623
Ordered rand_34_22137 16 32 4 5 128 111.425456676
Ordered rand_34_22137 16 32 4 5 128 706.611206127
Ordered rand_34_22137 17 50 4 5 200 100.629927242
Ordered rand_34_22137 17 50 4 5 200 697.23067352
Ordered rand_34_22137 17 50 4 5 200 92.156107381
Ordered rand_34_22137 17 50 4 5 200 93.985838429
Ordered rand_34_22137 17 50 4 5 200 95.226787888
Ordered rand_34_22137 17 50 4 5 200 95.434738841
Ordered rand_34_22137 17 50 4 5 200 95.438691977
Ordered rand_34_22137 17 50 4 5 200 97.27188648
Ordered rand_34_22137 17 50 4 5 200 98.733060814
Ordered rand_34_22137 17 50 4 5 200 99.465470086
Ordered rand_35_52156 1 1 1 2 1 3207.157143954
Ordered rand_35_52156 1 1 1 2 1 3212.787756397
Ordered rand_35_52156 1 1 1 2 1 3221.37563511
Ordered rand_35_52156 1 1 1 2 1 3232.927379852
Ordered rand_35_52156 1 1 1 2 1 3271.245513517
Ordered rand_35_52156 1 1 1 2 1 3278.36047764
Ordered rand_35_52156 1 1 1 2 1 3361.18180808
Ordered rand_35_52156 1 1 1 2 1 3402.647500779
Ordered rand_35_52156 1 1 1 2 1 3402.72129219
Ordered rand_35_52156 1 1 1 2 1 3460.342882384
Ordered rand_35_52156 1 1 2 3 2 2035.447295412
Ordered rand_35_52156 1 1 2 3 2 2044.297597641
Ordered rand_35_52156 1 1 2 3 2 2079.663976026
Ordered rand_35_52156 1 1 2 3 2 2089.609702917
Ordered rand_35_52156 1 1 2 3 2 2093.786272324
Ordered rand_35_52156 1 1 2 3 2 2097.52040028
Ordered rand_35_52156 1 1 2 3 2 2107.253388061
Ordered rand_35_52156 1 1 2 3 2 2110.655078153
Ordered rand_35_52156 1 1 2 3 2 2112.203714453
Ordered rand_35_52156 1 1 2 3 2 2129.598847283
Ordered rand_35_52156 1 1 4 5 4 854.715975883
Ordered rand_35_52156 1 1 4 5 4 858.445698132
Ordered rand_35_52156 1 1 4 5 4 859.785179456
Ordered rand_35_52156 1 1 4 5 4 865.632291306
Ordered rand_35_52156 1 1 4 5 4 866.817940434
Ordered rand_35_52156 1 1 4 5 4 868.962894758
Ordered rand_35_52156 1 1 4 5 4 871.357907417
Ordered rand_35_52156 1 1 4 5 4 872.768081419
Ordered rand_35_52156 1 1 4 5 4 874.59962835
Ordered rand_35_52156 1 1 4 5 4 878.543632037
Ordered rand_35_52156 2 2 4 5 8 393.491177825
Ordered rand_35_52156 2 2 4 5 8 395.135711281
Ordered rand_35_52156 2 2 4 5 8 396.108881632
Ordered rand_35_52156 2 2 4 5 8 397.82598776
Ordered rand_35_52156 2 2 4 5 8 397.826900011
Ordered rand_35_52156 2 2 4 5 8 400.536317776
Ordered rand_35_52156 2 2 4 5 8 403.86133523
Ordered rand_35_52156 2 2 4 5 8 411.986570116
Ordered rand_35_52156 2 2 4 5 8 412.487825258
Ordered rand_35_52156 2 2 4 5 8 415.060207775
Ordered rand_35_52156 4 8 4 5 32 137.862569639
Ordered rand_35_52156 4 8 4 5 32 139.986174868
Ordered rand_35_52156 4 8 4 5 32 144.63882935
Ordered rand_35_52156 4 8 4 5 32 144.694789506
Ordered rand_35_52156 4 8 4 5 32 148.098281929
Ordered rand_35_52156 4 8 4 5 32 149.038915089
Ordered rand_35_52156 4 8 4 5 32 150.300744651
Ordered rand_35_52156 4 8 4 5 32 151.118710416
Ordered rand_35_52156 4 8 4 5 32 154.591653567
Ordered rand_35_52156 4 8 4 5 32 161.459905309
Ordered rand_35_52156 8 16 4 5 64 125.791695903
Ordered rand_35_52156 8 16 4 5 64 84.546513008
Ordered rand_35_52156 8 16 4 5 64 85.220044063
Ordered rand_35_52156 8 16 4 5 64 86.279995941
Ordered rand_35_52156 8 16 4 5 64 88.231057948
Ordered rand_35_52156 8 16 4 5 64 89.245642988
Ordered rand_35_52156 8 16 4 5 64 89.633808769
Ordered rand_35_52156 8 16 4 5 64 90.117542981
Ordered rand_35_52156 8 16 4 5 64 91.590922185
Ordered rand_35_52156 8 16 4 5 64 92.623819428
Ordered rand_35_52156 16 32 4 5 128 131.051636958
Ordered rand_35_52156 16 32 4 5 128 54.943829231
Ordered rand_35_52156 16 32 4 5 128 55.050612691
Ordered rand_35_52156 16 32 4 5 128 55.394610389
Ordered rand_35_52156 16 32 4 5 128 55.651508647
Ordered rand_35_52156 16 32 4 5 128 56.017224603
Ordered rand_35_52156 16 32 4 5 128 56.526865941
Ordered rand_35_52156 16 32 4 5 128 58.795271881
Ordered rand_35_52156 16 32 4 5 128 61.281291976
Ordered rand_35_52156 16 32 4 5 128 63.616895027
Ordered rand_35_52156 17 50 4 5 200 133.419659225
Ordered rand_35_52156 17 50 4 5 200 48.485433864
Ordered rand_35_52156 17 50 4 5 200 48.615824193
Ordered rand_35_52156 17 50 4 5 200 48.853172914
Ordered rand_35_52156 17 50 4 5 200 49.821137662
Ordered rand_35_52156 17 50 4 5 200 50.263846593
Ordered rand_35_52156 17 50 4 5 200 50.975041426
Ordered rand_35_52156 17 50 4 5 200 51.419509623
Ordered rand_35_52156 17 50 4 5 200 53.902358885
Ordered rand_35_52156 17 50 4 5 200 56.892106022
Ordered rand_36_62563 1 1 1 2 1 2035.15536112
Ordered rand_36_62563 1 1 1 2 1 2039.104159095
Ordered rand_36_62563 1 1 1 2 1 2041.351215716
Ordered rand_36_62563 1 1 1 2 1 2044.436774959
Ordered rand_36_62563 1 1 1 2 1 2080.943931241
Ordered rand_36_62563 1 1 1 2 1 2149.164791437
Ordered rand_36_62563 1 1 1 2 1 2159.949583421
Ordered rand_36_62563 1 1 1 2 1 2175.507307732
Ordered rand_36_62563 1 1 1 2 1 2179.381490971
Ordered rand_36_62563 1 1 1 2 1 2189.273386725
Ordered rand_36_62563 1 1 2 3 2 1025.331904583
Ordered rand_36_62563 1 1 2 3 2 1030.30795233
Ordered rand_36_62563 1 1 2 3 2 1039.12037261
Ordered rand_36_62563 1 1 2 3 2 1047.050424964
Ordered rand_36_62563 1 1 2 3 2 1048.674270973
Ordered rand_36_62563 1 1 2 3 2 1048.74390747
Ordered rand_36_62563 1 1 2 3 2 1050.568001295
Ordered rand_36_62563 1 1 2 3 2 1050.568086846
Ordered rand_36_62563 1 1 2 3 2 1054.886509203
Ordered rand_36_62563 1 1 2 3 2 1055.506104043
Ordered rand_36_62563 1 1 4 5 4 522.430130001
Ordered rand_36_62563 1 1 4 5 4 523.351524291
Ordered rand_36_62563 1 1 4 5 4 529.17628818
Ordered rand_36_62563 1 1 4 5 4 530.803668126
Ordered rand_36_62563 1 1 4 5 4 531.026326117
Ordered rand_36_62563 1 1 4 5 4 531.220562901
Ordered rand_36_62563 1 1 4 5 4 531.704592979
Ordered rand_36_62563 1 1 4 5 4 533.638827615
Ordered rand_36_62563 1 1 4 5 4 534.264399076
Ordered rand_36_62563 1 1 4 5 4 534.949934443
Ordered rand_36_62563 2 2 4 5 8 360.213173361
Ordered rand_36_62563 2 2 4 5 8 363.569422782
Ordered rand_36_62563 2 2 4 5 8 364.771797846
Ordered rand_36_62563 2 2 4 5 8 364.950474257
Ordered rand_36_62563 2 2 4 5 8 365.34457216
Ordered rand_36_62563 2 2 4 5 8 374.476164712
Ordered rand_36_62563 2 2 4 5 8 375.747570635
Ordered rand_36_62563 2 2 4 5 8 421.033172508
Ordered rand_36_62563 2 2 4 5 8 421.28841738
Ordered rand_36_62563 2 2 4 5 8 422.623700129
Ordered rand_36_62563 4 8 4 5 32 197.98783539
Ordered rand_36_62563 4 8 4 5 32 199.1248367
Ordered rand_36_62563 4 8 4 5 32 208.18643614
Ordered rand_36_62563 4 8 4 5 32 214.004955465
Ordered rand_36_62563 4 8 4 5 32 215.182240165
Ordered rand_36_62563 4 8 4 5 32 216.859364702
Ordered rand_36_62563 4 8 4 5 32 218.176264361
Ordered rand_36_62563 4 8 4 5 32 220.755990687
Ordered rand_36_62563 4 8 4 5 32 223.066183214
Ordered rand_36_62563 4 8 4 5 32 228.874709394
Ordered rand_36_62563 8 16 4 5 64 158.312180618
Ordered rand_36_62563 8 16 4 5 64 158.344663995
Ordered rand_36_62563 8 16 4 5 64 158.921588828
Ordered rand_36_62563 8 16 4 5 64 159.460955193
Ordered rand_36_62563 8 16 4 5 64 159.559372315
Ordered rand_36_62563 8 16 4 5 64 160.528404575
Ordered rand_36_62563 8 16 4 5 64 165.607444052
Ordered rand_36_62563 8 16 4 5 64 165.644612552
Ordered rand_36_62563 8 16 4 5 64 168.666866433
Ordered rand_36_62563 8 16 4 5 64 188.98350824
Ordered rand_36_62563 16 32 4 5 128 134.133623765
Ordered rand_36_62563 16 32 4 5 128 134.697763837
Ordered rand_36_62563 16 32 4 5 128 135.404094086
Ordered rand_36_62563 16 32 4 5 128 135.536660089
Ordered rand_36_62563 16 32 4 5 128 135.593629358
Ordered rand_36_62563 16 32 4 5 128 136.103939583
Ordered rand_36_62563 16 32 4 5 128 138.224847842
Ordered rand_36_62563 16 32 4 5 128 140.953171567
Ordered rand_36_62563 16 32 4 5 128 141.599682309
Ordered rand_36_62563 16 32 4 5 128 185.000705659
Ordered rand_36_62563 17 50 4 5 200 134.051683319
Ordered rand_36_62563 17 50 4 5 200 134.437596686
Ordered rand_36_62563 17 50 4 5 200 135.758129925
Ordered rand_36_62563 17 50 4 5 200 136.694392285
Ordered rand_36_62563 17 50 4 5 200 136.912390834
Ordered rand_36_62563 17 50 4 5 200 136.96495207
Ordered rand_36_62563 17 50 4 5 200 136.984761661
Ordered rand_36_62563 17 50 4 5 200 138.523049277
Ordered rand_36_62563 17 50 4 5 200 140.670594712
Ordered rand_36_62563 17 50 4 5 200 175.679695292
