benchmark variant workers runtimeM speedup
MANN_a45 Ordered 4 81.2481367127 3.04017678057212
MANN_a45 Ordered 8 45.8598180718 5.38616830777595
MANN_a45 Ordered 32 27.3195453582 9.04146447021894
MANN_a45 Ordered 64 27.3114924546 9.04413038244994
MANN_a45 Ordered 128 27.3485741369 9.03186752853137
MANN_a45 Ordered 200 29.6924227937 8.3189135630626
MANN_a45 Unordered 1 306.8678022194 1
MANN_a45 Unordered 2 168.052126571 1.82602748611903
MANN_a45 Unordered 4 93.2286252786 3.29156202081036
MANN_a45 Unordered 8 50.980487261 6.01931873754674
MANN_a45 Unordered 32 23.7226387351 12.9356521273225
MANN_a45 Unordered 64 19.4524151033 15.7753060784386
MANN_a45 Unordered 128 18.8150443818 16.3097038727284
MANN_a45 Unordered 200 19.0140643169 16.1389904391273
p_hat1000-2 Ordered 1 435.8105932062 1
p_hat1000-2 Ordered 2 235.3252481341 1.85194999967812
p_hat1000-2 Ordered 4 132.5414378958 3.28810823335734
p_hat1000-2 Ordered 8 74.2567761955 5.86896732574031
p_hat1000-2 Ordered 32 24.6931714078 17.6490328443003
p_hat1000-2 Ordered 64 16.5409905511 26.3473092412363
p_hat1000-2 Ordered 128 14.4041505602 30.2559037677921
p_hat1000-2 Ordered 200 15.3257234359 28.4365429814118
p_hat1000-2 Unordered 1 297.2213569106 1
p_hat1000-2 Unordered 2 160.4083632174 1.85290436825777
p_hat1000-2 Unordered 4 89.6998784913 3.31350902486928
p_hat1000-2 Unordered 8 47.5127828901 6.25560825595275
p_hat1000-2 Unordered 32 14.625108164 20.322677519898
p_hat1000-2 Unordered 64 7.8371933986 37.9244637453625
p_hat1000-2 Unordered 128 5.0688055825 58.637355896378
p_hat1000-2 Unordered 200 4.6404988729 64.0494405992295
p_hat500-3 Ordered 1 377.4311785208 1
p_hat500-3 Ordered 2 208.2314781919 1.81255582392289
p_hat500-3 Ordered 4 112.5929667701 3.35217366899537
p_hat500-3 Ordered 8 61.064905516 6.18081982329289
p_hat500-3 Ordered 32 18.0128373417 20.9534551032136
p_hat500-3 Ordered 64 10.3203848332 36.5714248665058
p_hat500-3 Ordered 128 7.0909624097 53.2270736627369
p_hat500-3 Ordered 200 6.8226153167 55.3206008254556
p_hat500-3 Unordered 1 168.7519636695 1
p_hat500-3 Unordered 2 96.2520304804 1.75323016903901
p_hat500-3 Unordered 4 53.5780967 3.14964461343958
p_hat500-3 Unordered 8 27.994492133 6.02804161860735
p_hat500-3 Unordered 32 8.404589762 20.0785485607501
p_hat500-3 Unordered 64 9.8802859948 17.0796638638107
p_hat500-3 Unordered 128 8.1695878079 20.6561172531026
p_hat500-3 Unordered 200 8.2860281678 20.3658447994758
p_hat700-3 Ordered 1 NA NA
p_hat700-3 Ordered 2 2129.0927797788 NA
p_hat700-3 Ordered 4 1167.91389274 NA
p_hat700-3 Ordered 8 621.2008677792 NA
p_hat700-3 Ordered 32 162.957164253 NA
p_hat700-3 Ordered 64 84.8661192568 NA
p_hat700-3 Ordered 128 46.5260459197 NA
p_hat700-3 Ordered 200 38.6729861135 NA
p_hat700-3 Unordered 1 2260.1574137374 1
p_hat700-3 Unordered 2 1234.4090371276 1.8309631133264
p_hat700-3 Unordered 4 694.9707314355 3.25216201417421
p_hat700-3 Unordered 8 343.3651780557 6.58237223278
p_hat700-3 Unordered 32 88.1022676271 25.6537938762677
p_hat700-3 Unordered 64 47.2773193238 47.8063783239844
p_hat700-3 Unordered 128 26.8338132985 84.2279622577437
p_hat700-3 Unordered 200 21.7053063546 104.129256542763
sanr200_0.9 Ordered 1 89.7769764792 1
sanr200_0.9 Ordered 2 56.9667413532 1.57595422077196
sanr200_0.9 Ordered 4 36.9862379188 2.42730760225729
sanr200_0.9 Ordered 8 19.6125742871 4.57752129654137
sanr200_0.9 Ordered 32 6.4664027373 13.8836042427951
sanr200_0.9 Ordered 64 3.8918249064 23.0680923829755
sanr200_0.9 Ordered 128 2.5649180062 35.0018894413733
sanr200_0.9 Ordered 200 2.3213653046 38.6742131026507
sanr200_0.9 Unordered 1 108.7976995892 1
sanr200_0.9 Unordered 2 62.0554484529 1.75323363703958
sanr200_0.9 Unordered 4 35.5527477325 3.06017696319276
sanr200_0.9 Unordered 8 16.6383822985 6.53895899477009
