benchmark variant workers runtimeM speedup
ulysses16 Ordered 1 47.2858212353 1
ulysses16 Ordered 2 25.2535260922 1.87244430986234
ulysses16 Ordered 4 13.8203868661 3.42145423955441
ulysses16 Ordered 8 8.2858983035 5.70678271724941
ulysses16 Ordered 32 8.7965607663 5.3754896364104
ulysses16 Ordered 64 10.0666138584 4.69729165143677
ulysses16 Ordered 128 10.065709876 4.69771350633154
ulysses16 Ordered 200 10.0667404669 4.69723257401722
ulysses16 Unordered 1 46.8385478312 1
ulysses16 Unordered 2 27.300797089 1.71564763030571
ulysses16 Unordered 4 15.6048869903 3.0015307294641
ulysses16 Unordered 8 9.4868100448 4.9372283844635
ulysses16 Unordered 32 8.9298297862 5.24517812238521
ulysses16 Unordered 64 10.2316974993 4.57778856679495
ulysses16 Unordered 128 9.8433281373 4.75840561016263
ulysses16 Unordered 200 10.6780184302 4.38644568160037
ulysses22 Ordered 1 NA NA
ulysses22 Ordered 2 NA NA
ulysses22 Ordered 4 NA NA
ulysses22 Ordered 8 NA NA
ulysses22 Ordered 32 3086.0366110299 NA
ulysses22 Ordered 64 2627.5639236118 NA
ulysses22 Ordered 128 2478.5031038168 NA
ulysses22 Ordered 200 2525.0303063646 NA
ulysses22 Unordered 1 NA NA
ulysses22 Unordered 2 NA NA
ulysses22 Unordered 4 NA NA
ulysses22 Unordered 8 NA NA
ulysses22 Unordered 32 3184.742381129 NA
ulysses22 Unordered 64 2620.4851702211 NA
ulysses22 Unordered 128 2513.0459361125 NA
ulysses22 Unordered 200 2496.1871245377 NA
