instance hosts processes threads workersPerProc totalWorkers runtime maxclique
p_hat500-3 2 2 5 4 8 17.817 50
p_hat500-3 2 2 5 4 8 20.09 50
p_hat500-3 2 2 5 4 8 19.199 50
p_hat500-3 2 2 5 4 8 16.872 50
p_hat500-3 2 2 5 4 8 19.375 50
p_hat700-3 2 2 5 4 8 196.727 62
p_hat700-3 2 2 5 4 8 195.311 62
p_hat700-3 2 2 5 4 8 220.551 62
p_hat700-3 2 2 5 4 8 180.266 62
p_hat700-3 2 2 5 4 8 173.878 62
brock400_2 1 1 3 2 2 148.922 29
sanr200_0.9 2 2 5 4 8 7.499 42
sanr200_0.9 2 2 5 4 8 7.914 42
sanr200_0.9 2 2 5 4 8 11.599 42
sanr200_0.9 2 2 5 4 8 6.742 42
sanr200_0.9 2 2 5 4 8 8.086 42
sanr400_0.7 2 2 5 4 8 18.76 21
sanr400_0.7 2 2 5 4 8 18.281 21
sanr400_0.7 2 2 5 4 8 18.288 21
sanr400_0.7 2 2 5 4 8 18.475 21
sanr400_0.7 2 2 5 4 8 19.349 21
brock400_2 1 1 3 2 2 139.995 29
brock400_1 4 8 5 4 32 17.417 27
brock400_1 4 8 5 4 32 16.94 27
brock400_1 4 8 5 4 32 18.649 27
brock400_1 4 8 5 4 32 9.088 27
brock400_1 4 8 5 4 32 17.762 27
brock400_2 4 8 5 4 32 10.291 29
brock400_2 4 8 5 4 32 11.5 29
brock400_2 4 8 5 4 32 13.229 29
brock400_2 4 8 5 4 32 9.261 29
brock400_2 4 8 5 4 32 11.539 29
brock400_2 1 1 5 4 4 147.329 29
brock400_3 4 8 5 4 32 5.026 31
brock400_3 4 8 5 4 32 11.193 31
brock400_3 4 8 5 4 32 9.249 31
brock400_3 4 8 5 4 32 2.965 31
brock400_3 4 8 5 4 32 11.238 31
brock400_4 4 8 5 4 32 6.65 33
brock400_4 4 8 5 4 32 7.511 33
brock400_4 4 8 5 4 32 2.011 33
brock400_4 4 8 5 4 32 5.916 33
brock400_4 4 8 5 4 32 8.122 33
brock400_2 1 1 5 4 4 147.202 29
brock800_1 4 8 5 4 32 200.785 23
brock800_1 4 8 5 4 32 196.523 23
brock800_1 4 8 5 4 32 191.75 23
brock800_1 4 8 5 4 32 146.949 23
brock800_1 4 8 5 4 32 181.47 23
brock800_2 4 8 5 4 32 194.559 24
brock800_2 4 8 5 4 32 202.003 24
brock800_2 4 8 5 4 32 203.708 24
brock800_2 4 8 5 4 32 185.885 24
brock800_2 4 8 5 4 32 197.173 24
brock400_2 1 1 5 4 4 147.183 29
brock800_3 4 8 5 4 32 196.659 25
brock800_3 4 8 5 4 32 62.812 25
brock800_3 4 8 5 4 32 81.437 25
brock800_3 4 8 5 4 32 211.13 25
brock800_3 4 8 5 4 32 186.029 25
brock800_4 4 8 5 4 32 79.452 26
brock800_4 4 8 5 4 32 61.284 26
brock800_4 4 8 5 4 32 99.921 26
brock800_4 4 8 5 4 32 72.194 26
brock800_4 4 8 5 4 32 73.403 26
brock400_2 1 1 5 4 4 153.787 29
p_hat500-3 4 8 5 4 32 7.097 50
p_hat500-3 4 8 5 4 32 5.651 50
p_hat500-3 4 8 5 4 32 5.02 50
p_hat500-3 4 8 5 4 32 5.044 50
p_hat500-3 4 8 5 4 32 6.204 50
p_hat700-3 4 8 5 4 32 57.548 62
p_hat700-3 4 8 5 4 32 57.692 62
p_hat700-3 4 8 5 4 32 41.986 62
p_hat700-3 4 8 5 4 32 55.35 62
p_hat700-3 4 8 5 4 32 49.693 62
brock400_2 1 1 5 4 4 130 29
sanr200_0.9 4 8 5 4 32 1.705 42
sanr200_0.9 4 8 5 4 32 1.804 42
sanr200_0.9 4 8 5 4 32 2.106 42
sanr200_0.9 4 8 5 4 32 1.508 42
sanr200_0.9 4 8 5 4 32 1.795 42
sanr400_0.7 4 8 5 4 32 4.702 21
sanr400_0.7 4 8 5 4 32 4.344 21
sanr400_0.7 4 8 5 4 32 4.222 21
sanr400_0.7 4 8 5 4 32 4.404 21
sanr400_0.7 4 8 5 4 32 4.36 21
brock400_1 1 1 2 1 1 247.667 27
brock400_3 1 1 2 1 1 147.832 31
brock400_1 8 16 5 4 64 13.238 27
brock400_1 8 16 5 4 64 10.423 27
brock400_1 8 16 5 4 64 7.521 27
brock400_1 8 16 5 4 64 6.185 27
brock400_1 8 16 5 4 64 6.525 27
brock400_2 8 16 5 4 64 7.752 29
brock400_2 8 16 5 4 64 10.423 29
brock400_2 8 16 5 4 64 7.429 29
brock400_2 8 16 5 4 64 8.322 29
brock400_2 8 16 5 4 64 8.173 29
brock400_3 1 1 2 1 1 149.091 31
brock400_3 8 16 5 4 64 4.731 31
brock400_3 8 16 5 4 64 3.235 31
brock400_3 8 16 5 4 64 3.926 31
brock400_3 8 16 5 4 64 7.51 31
brock400_3 8 16 5 4 64 6.388 31
brock400_4 8 16 5 4 64 4.902 33
brock400_4 8 16 5 4 64 1.96 33
brock400_4 8 16 5 4 64 4.422 33
brock400_4 8 16 5 4 64 4.752 33
brock400_4 8 16 5 4 64 1.749 33
brock400_3 1 1 2 1 1 149.51 31
brock800_1 8 16 5 4 64 79.603 23
brock800_1 8 16 5 4 64 100.496 23
brock800_1 8 16 5 4 64 77.314 23
brock800_1 8 16 5 4 64 74.737 23
brock800_1 8 16 5 4 64 96.977 23
brock800_2 8 16 5 4 64 87.005 24
brock800_2 8 16 5 4 64 77.455 24
brock800_2 8 16 5 4 64 65.296 24
brock800_2 8 16 5 4 64 98.334 24
brock800_2 8 16 5 4 64 74.998 24
brock400_3 1 1 2 1 1 156.109 31
brock800_3 8 16 5 4 64 85.944 25
brock800_3 8 16 5 4 64 72.105 25
brock800_3 8 16 5 4 64 77.452 25
brock800_3 8 16 5 4 64 72.912 25
brock800_3 8 16 5 4 64 96.197 25
brock800_4 8 16 5 4 64 36.844 26
brock800_4 8 16 5 4 64 43.735 26
brock800_4 8 16 5 4 64 40.854 26
brock800_4 8 16 5 4 64 58.872 26
brock800_4 8 16 5 4 64 28.291 26
brock400_3 1 1 2 1 1 153.847 31
p_hat500-3 8 16 5 4 64 3.415 50
p_hat500-3 8 16 5 4 64 4.208 50
p_hat500-3 8 16 5 4 64 5.163 50
p_hat500-3 8 16 5 4 64 4.018 50
p_hat500-3 8 16 5 4 64 4.526 50
p_hat700-3 8 16 5 4 64 32.302 62
p_hat700-3 8 16 5 4 64 27.296 62
p_hat700-3 8 16 5 4 64 33.612 62
p_hat700-3 8 16 5 4 64 33.414 62
p_hat700-3 8 16 5 4 64 31.734 62
brock400_3 1 1 3 2 2 113.863 31
sanr200_0.9 8 16 5 4 64 1.059 42
sanr200_0.9 8 16 5 4 64 1.055 42
sanr200_0.9 8 16 5 4 64 0.984 42
sanr200_0.9 8 16 5 4 64 1.209 42
sanr200_0.9 8 16 5 4 64 1.071 42
sanr400_0.7 8 16 5 4 64 3.132 21
sanr400_0.7 8 16 5 4 64 3.032 21
sanr400_0.7 8 16 5 4 64 3.138 21
sanr400_0.7 8 16 5 4 64 3.207 21
sanr400_0.7 8 16 5 4 64 3.17 21
brock400_3 1 1 3 2 2 121.727 31
brock400_1 16 32 5 4 128 7.129 27
brock400_1 16 32 5 4 128 8.502 27
brock400_1 16 32 5 4 128 4.752 27
brock400_1 16 32 5 4 128 6.048 27
brock400_1 16 32 5 4 128 3.588 27
brock400_2 16 32 5 4 128 2.835 29
brock400_2 16 32 5 4 128 4.049 29
brock400_2 16 32 5 4 128 6.898 29
brock400_2 16 32 5 4 128 5.287 29
brock400_2 16 32 5 4 128 8.424 29
brock400_3 1 1 3 2 2 121.614 31
brock400_3 16 32 5 4 128 3.992 31
brock400_3 16 32 5 4 128 3.507 31
brock400_3 16 32 5 4 128 2.846 31
brock400_3 16 32 5 4 128 3.3 31
brock400_3 16 32 5 4 128 3.081 31
brock400_4 16 32 5 4 128 2.333 33
brock400_4 16 32 5 4 128 2.061 33
brock400_4 16 32 5 4 128 5.456 33
brock400_4 16 32 5 4 128 2.052 33
brock400_4 16 32 5 4 128 3.589 33
brock400_3 1 1 3 2 2 120.004 31
brock800_1 16 32 5 4 128 63.094 23
brock800_1 16 32 5 4 128 58.271 23
brock800_1 16 32 5 4 128 58.956 23
brock800_1 16 32 5 4 128 79.714 23
brock800_1 16 32 5 4 128 52.172 23
brock800_2 16 32 5 4 128 71.902 24
brock800_2 16 32 5 4 128 50.723 24
brock800_2 16 32 5 4 128 57.025 24
