instance hosts processes schedulers cores totalWorkers runtime
brock400_2 16 32 4 5 128 11.751289408
brock400_2 16 32 4 5 128 11.775720947
brock400_2 16 32 4 5 128 11.871530591
brock400_2 16 32 4 5 128 12.215411552
brock400_2 16 32 4 5 128 12.295377986
brock400_2 16 32 4 5 128 12.975831264
brock400_2 16 32 4 5 128 6.309124367
brock400_2 17 50 4 5 200 10.07685373
brock400_2 17 50 4 5 200 10.888764673
brock400_2 17 50 4 5 200 10.96403172
brock400_2 17 50 4 5 200 11.129960431
brock400_2 17 50 4 5 200 5.379234997
brock400_2 17 50 4 5 200 5.609808788
brock400_2 17 50 4 5 200 8.629905379
brock400_2 17 50 4 5 200 9.088997752
brock400_2 17 50 4 5 200 9.432970809
brock400_2 17 50 4 5 200 9.866555285
brock400_3 1 1 1 2 1 754.02742557
brock400_3 1 1 1 2 1 758.816467183
brock400_3 1 1 1 2 1 759.66502063
brock400_3 1 1 1 2 1 767.377430584
brock400_3 1 1 1 2 1 770.190031015
brock400_3 1 1 1 2 1 772.751316126
brock400_3 1 1 1 2 1 781.348486497
brock400_3 1 1 1 2 1 786.775852034
brock400_3 1 1 1 2 1 789.839591865
brock400_3 1 1 1 2 1 806.382947128
brock400_3 1 1 2 3 2 408.343756725
brock400_3 1 1 2 3 2 413.730299632
brock400_3 1 1 2 3 2 415.209625358
brock400_3 1 1 2 3 2 416.214620095
brock400_3 1 1 2 3 2 423.506132605
brock400_3 1 1 2 3 2 427.781089574
brock400_3 1 1 2 3 2 430.499183783
brock400_3 1 1 2 3 2 446.021905924
brock400_3 1 1 2 3 2 453.453985348
brock400_3 1 1 2 3 2 455.859310438
brock400_3 1 1 4 5 4 107.853648004
brock400_3 1 1 4 5 4 226.732516678
brock400_3 1 1 4 5 4 235.238944153
brock400_3 1 1 4 5 4 246.314253517
brock400_3 1 1 4 5 4 256.031862634
brock400_3 1 1 4 5 4 258.016998922
brock400_3 1 1 4 5 4 262.047261253
brock400_3 1 1 4 5 4 264.824077929
brock400_3 1 1 4 5 4 267.752217349
brock400_3 1 1 4 5 4 50.51574296
brock400_3 2 2 4 5 8 115.909462431
brock400_3 2 2 4 5 8 119.457919806
brock400_3 2 2 4 5 8 126.323561188
brock400_3 2 2 4 5 8 129.477076378
brock400_3 2 2 4 5 8 131.192898827
brock400_3 2 2 4 5 8 133.752247853
brock400_3 2 2 4 5 8 134.457396285
brock400_3 2 2 4 5 8 137.177838382
brock400_3 2 2 4 5 8 21.396435747
brock400_3 2 2 4 5 8 32.196233596
brock400_3 4 8 4 5 32 13.76810559
brock400_3 4 8 4 5 32 29.166225967
brock400_3 4 8 4 5 32 31.354089261
brock400_3 4 8 4 5 32 32.900686158
brock400_3 4 8 4 5 32 33.637832752
brock400_3 4 8 4 5 32 33.946315207
brock400_3 4 8 4 5 32 34.451569486
brock400_3 4 8 4 5 32 35.217363103
brock400_3 4 8 4 5 32 36.490327366
brock400_3 4 8 4 5 32 6.496669276
brock400_3 8 16 4 5 64 12.601951489
brock400_3 8 16 4 5 64 17.26868032
brock400_3 8 16 4 5 64 18.818992966
brock400_3 8 16 4 5 64 18.988667644
brock400_3 8 16 4 5 64 19.8437724
brock400_3 8 16 4 5 64 20.191406543
brock400_3 8 16 4 5 64 20.296500604
brock400_3 8 16 4 5 64 20.555195553
brock400_3 8 16 4 5 64 4.4469144
brock400_3 8 16 4 5 64 8.123745509
brock400_3 16 32 4 5 128 10.24372217
brock400_3 16 32 4 5 128 10.263759501
brock400_3 16 32 4 5 128 10.277818451
brock400_3 16 32 4 5 128 10.511786836
brock400_3 16 32 4 5 128 10.708523302
brock400_3 16 32 4 5 128 11.09328559
brock400_3 16 32 4 5 128 11.519336931
brock400_3 16 32 4 5 128 11.758010273
brock400_3 16 32 4 5 128 3.256782549
brock400_3 16 32 4 5 128 9.729564478
brock400_3 17 50 4 5 200 10.454375658
brock400_3 17 50 4 5 200 2.773638308
brock400_3 17 50 4 5 200 3.42458376
brock400_3 17 50 4 5 200 6.648286858
brock400_3 17 50 4 5 200 8.063736641
brock400_3 17 50 4 5 200 8.56415815
brock400_3 17 50 4 5 200 8.635051288
brock400_3 17 50 4 5 200 8.646851852
brock400_3 17 50 4 5 200 9.169222892
brock400_3 17 50 4 5 200 9.400330156
brock400_4 1 1 1 2 1 237.751910029
brock400_4 1 1 1 2 1 238.105478199
brock400_4 1 1 1 2 1 238.337056582
brock400_4 1 1 1 2 1 238.49113351
brock400_4 1 1 1 2 1 245.082146709
brock400_4 1 1 1 2 1 246.527923661
brock400_4 1 1 1 2 1 250.879221828
brock400_4 1 1 1 2 1 254.193910092
brock400_4 1 1 1 2 1 254.664339158
brock400_4 1 1 1 2 1 255.283023367
brock400_4 1 1 2 3 2 139.117350752
brock400_4 1 1 2 3 2 144.977590997
brock400_4 1 1 2 3 2 148.156042875
brock400_4 1 1 2 3 2 152.652571057
brock400_4 1 1 2 3 2 152.957351146
brock400_4 1 1 2 3 2 155.185505007
brock400_4 1 1 2 3 2 155.925862511
brock400_4 1 1 2 3 2 158.716802477
brock400_4 1 1 2 3 2 162.128176396
brock400_4 1 1 2 3 2 44.209972861
brock400_4 1 1 4 5 4 102.590561071
brock400_4 1 1 4 5 4 18.423937287
brock400_4 1 1 4 5 4 91.335941868
brock400_4 1 1 4 5 4 92.859334598
brock400_4 1 1 4 5 4 94.406193413
brock400_4 1 1 4 5 4 95.529205631
brock400_4 1 1 4 5 4 95.851364411
brock400_4 1 1 4 5 4 97.443930206
brock400_4 1 1 4 5 4 98.601866087
brock400_4 1 1 4 5 4 99.122746473
brock400_4 2 2 4 5 8 44.971843827
brock400_4 2 2 4 5 8 47.125824591
brock400_4 2 2 4 5 8 48.81397408
brock400_4 2 2 4 5 8 50.280728135
brock400_4 2 2 4 5 8 50.569650445
brock400_4 2 2 4 5 8 51.043117797
brock400_4 2 2 4 5 8 51.236827054
brock400_4 2 2 4 5 8 53.171255007
brock400_4 2 2 4 5 8 54.679092807
brock400_4 2 2 4 5 8 58.692530187
brock400_4 4 8 4 5 32 13.077752031
brock400_4 4 8 4 5 32 13.160768166
brock400_4 4 8 4 5 32 13.303706886
brock400_4 4 8 4 5 32 14.050812196
brock400_4 4 8 4 5 32 15.430973715
brock400_4 4 8 4 5 32 15.492501931
brock400_4 4 8 4 5 32 4.146909302
brock400_4 4 8 4 5 32 4.209372556
brock400_4 4 8 4 5 32 4.724732944
brock400_4 4 8 4 5 32 8.094684178
brock400_4 8 16 4 5 64 6.422814294
brock400_4 8 16 4 5 64 7.218899504
brock400_4 8 16 4 5 64 7.28685163
brock400_4 8 16 4 5 64 7.455621041
brock400_4 8 16 4 5 64 7.638031675
brock400_4 8 16 4 5 64 7.880963044
brock400_4 8 16 4 5 64 8.040674416
brock400_4 8 16 4 5 64 8.068331304
brock400_4 8 16 4 5 64 8.17421063
brock400_4 8 16 4 5 64 8.189070744
brock400_4 16 32 4 5 128 2.827397467
brock400_4 16 32 4 5 128 4.543994878
brock400_4 16 32 4 5 128 4.653148357
brock400_4 16 32 4 5 128 4.689321928
brock400_4 16 32 4 5 128 4.779485273
brock400_4 16 32 4 5 128 4.793208099
brock400_4 16 32 4 5 128 4.829767827
brock400_4 16 32 4 5 128 4.994823439
brock400_4 16 32 4 5 128 4.997081789
brock400_4 16 32 4 5 128 5.43474546
brock400_4 17 50 4 5 200 2.089305751
brock400_4 17 50 4 5 200 2.642906209
brock400_4 17 50 4 5 200 3.962838405
brock400_4 17 50 4 5 200 3.992901181
brock400_4 17 50 4 5 200 4.077993571
brock400_4 17 50 4 5 200 4.433413638
brock400_4 17 50 4 5 200 4.55042938
brock400_4 17 50 4 5 200 4.700282438
brock400_4 17 50 4 5 200 4.869246131
brock400_4 17 50 4 5 200 5.122328451
brock800_1 1 1 1 2 1 21232.906152605
brock800_1 1 1 1 2 1 21648.243423928
brock800_1 1 1 1 2 1 21804.019164103
brock800_1 1 1 1 2 1 22083.476336449
brock800_1 1 1 1 2 1 22144.077536774
brock800_1 1 1 1 2 1 20953.924689157
brock800_1 1 1 1 2 1 21231.992339061
brock800_1 1 1 1 2 1 22130.137776362
brock800_1 1 1 1 2 1 22147.141231866
brock800_1 1 1 1 2 1 22180.56934069
brock800_1 1 1 2 3 2 11185.987905084
brock800_1 1 1 2 3 2 11246.039625295
brock800_1 1 1 2 3 2 11260.498673582
brock800_1 1 1 2 3 2 11282.783859179
brock800_1 1 1 2 3 2 11354.530323031
brock800_1 1 1 2 3 2 10963.526969447
brock800_1 1 1 2 3 2 11137.98435015
brock800_1 1 1 2 3 2 11164.19385023
brock800_1 1 1 2 3 2 11495.295439843
brock800_1 1 1 2 3 2 12087.452594674
brock800_1 1 1 4 5 4 4422.569853517
