hosts processes workersPerProc totalWorkers runtime exists
1 1 1 1 95980.308715549 FALSE
1 1 2 2 50946.221836765 FALSE
1 1 4 4 27642.929390666 FALSE
2 2 4 8 14096.045247143 FALSE
4 8 4 32 3860.077780898 FALSE
8 16 4 64 2081.73618785 FALSE
16 32 4 128 1298.505460722 FALSE
17 50 4 200 1190.379724477 FALSE
